"ASSESSMENT","RECORD_ID","STREAM_LAK","STREAM_NAM","LAKE_NAME","BEACH_NAME","LLID_STREA","LLID_STR_1","LLID_LAKE","EPA_BEACH_","SEGMENT_ID","HUC_4TH_CO","HUC_4TH_NA","HUC_3RD_NA","MILES","RM1","RM2","SEGMENT_MI","POLLUTANT","POLLUTANT_","SEASON","SEASON_ID","ASSESSME_1","ASSESSME_2","ACTION","ACTION_ID","NUMERIC_CR","AFFECTED_U","LISTING_ST","STATUS_ID","PREVIOUS_S","PREVIOUS_A","LISTING_YE","TMDL_INFO","CRITERIA","COMMENTS","SUMMARY","Shape_Leng","PlanName"
29360,24500,"Unnamed Stream","Unnamed Stream",NA,NA,1225061454090,1225061454090,0,NA,31547,"17090011","Clackamas","Willamette","0 to 1.5",0,1.5,1.5,"Dissolved Oxygen",6,"January 1 - May 15",41,2012,"2013/06/25","No status change",13,4,NA,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010",NA,"Spawning: Not less than 11.0 mg/L or 95% of saturation",NA,"2012 Data:
[DEQ] STATION 32067 at RM 1.1 from 04/13/2005 to 05/07/2008, 9 of 23 (39%) samples < 11.0 mg/l and < 95% saturation

2010 Data:
EPA addition to 303(d) list 12/14/2012:  Thirteen exceedences of the spawning criteria  out of 26 days of sampl",7919.99987928,"Clackamas"
25852,6009,"Clackamas River","Clackamas River",NA,NA,1226050453720,1226050453720,0,NA,1491,"17090011","Clackamas","Willamette","0 to 22.9",0,22.9,22.9,"Temperature",12,"Summer",1,2010,"2010/10/29","No action",21,17,"Anadromous fish passage; Salmonid fish rearing","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Rearing: 17.8 C",NA,"Previous Data: 
DEQ Data (Site 402913; RM 1.2): 76% (39 of 51) Summer values exceeded temperature standard (64) with exceedances each year and a maximum of 75.2 in WY 1986 - 1995; 7 day average of daily maximum of 70.4 exceeded standard (64) in 1995.",121301.009031,"Clackamas"
25965,12834,"Fish Creek","Fish Creek",NA,NA,1221528451580,1221528451580,0,NA,1300,"17090011","Clackamas","Willamette","0 to 13.2",0,13.2,13.2,"Temperature",12,"Year Round (Non-spawning)",71,2010,"2010/10/29","No action",21,33,"Core cold water habitat","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum",NA,"2004 Data: 
[DEQ] LASAR 21871 River Mile 7.5: From 6/16/1999 to 8/29/1999, 0 days with 7-day-average maximum > 16 degrees Celsius.
[DEQ] LASAR 21872 River Mile 4.6: From 6/16/1999 to 8/29/1999, 37 days with 7-day-average maximum > 16 degrees Celsius.",69099.2075434,"Clackamas"
25972,12867,"North Fork Eagle Creek","North Fork Eagle Creek",NA,NA,1222892453250,1222892453250,0,NA,1351,"17090011","Clackamas","Willamette","0 to 13.1",0,13.1,13.1,"Temperature",12,"Year Round (Non-spawning)",71,2010,"2010/10/29","No action",21,33,"Core cold water habitat","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum",NA,"2004 Data: 
[BLM - Salem] LASAR 31089 River Mile 0.6: From 7/3/2000 to 9/16/2002, 68 days with 7-day-average maximum > 16 degrees Celsius.
[DEQ] LASAR 21870 River Mile 2.6: From 7/11/1999 to 8/29/1999, 35 days with 7-day-average maximum > 16 degrees Ce",68617.5257914,"Clackamas"
6328,6458,"Tualatin River","Tualatin River",NA,NA,1226500453380,1226500453380,0,NA,1518,"17090010","Tualatin","Willamette","0 to 44.7",0,44.7,44.7,"Phosphorus",12708,"June 1 - September 30",30,1998,"1998/12/01","No action",21,3,"Aesthetics","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: TMDL approved","Previous Action: Added to database","Previous Assessment Year: 1998",NA,"Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.",NA,"Previous Data:  USA Data (10 Sites: RM 0.2 - 38.5): 83 - 100% (10 - 135 of 12 - 140) Summer values exceeded phosphorus TMDL standard (50 - 70 ug/l) with maximum values of 125 - 750 between 7/93 - 10/95.  DEQ Data available.",230786.153467,"Clackamas"
26315,16358,"Molalla River","Molalla River",NA,NA,1227171452980,1227171452980,0,NA,1556,"17090009","Molalla-Pudding","Willamette","0 to 25",0,25,25,"E. Coli",2,"FallWinterSpring",2,2010,"2010/10/29","No action",21,1,"Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: New Cat 4A: Water quality limited, TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>","30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml","TMDL documented water quality limited by bacteria. TMDL developed for E. coli.","2004 Data: 
[DEQ/ODA - Salem] LASAR 10637 River Mile 2.8: From 4/3/1996 to 12/8/2003, 2 out of 29 samples (7%) > 406 organisms; maximum 30-day log mean of 0",131069.774177,"Clackamas"
25971,12865,"Bear Creek","Bear Creek",NA,NA,1222817453280,1222817453280,0,NA,8977,"17090011","Clackamas","Willamette","0 to 4.8",0,4.8,4.8,"Temperature",12,"Year Round (Non-spawning)",71,2010,"2010/10/29","No action",21,33,"Core cold water habitat","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum",NA,"2004 Data: 
[USFS-W/F] LASAR 31071 River Mile 0.1: From 7/13/2002 to 9/6/2002, 26 days with 7-day-average maximum > 16 degrees Celsius.",25160.4743156,"Clackamas"
26402,8554,"Rock Creek","Rock Creek",NA,NA,1225134454090,1225134454090,0,NA,2835,"17090011","Clackamas","Willamette","0 to 6.1",0,6.1,6.1,"E. Coli",2,"FallWinterSpring",2,2010,"2010/10/29","No action",21,1,"Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml",NA,"2004 Data:
[Clackamas County WES] Site ID 25532 River Mile 0.1:  From 11/21/2000 to 4/15/2003, 4 out of 20 samples (20%) > 406 organisms.",31938.6220971,"Clackamas"
26404,8563,"Sieben Drainage Ditch","Sieben Drainage Ditch",NA,NA,1225222454130,1225222454130,0,NA,2837,"17090011","Clackamas","Willamette","1 to 1.8",1,1.8,0.8,"E. Coli",2,"FallWinterSpring",2,2010,"2010/10/29","No action",21,1,"Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml",NA,"2004 Data:
[Clackamas County WES] Site ID 25521 River Mile 1.8:  From 1/24/1996 to 4/15/2003, 6 out of 21 samples (29%) > 406 organisms.",4214.12578251,"Clackamas"
26403,8559,"Sieben Drainage Ditch","Sieben Drainage Ditch",NA,NA,1225222454130,1225222454130,0,NA,2836,"17090011","Clackamas","Willamette","0 to 1",0,1,1,"E. Coli",2,"FallWinterSpring",2,2010,"2010/10/29","No action",21,1,"Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml",NA,"2004 Data:
[Clackamas County WES] Site ID 25522 River Mile 0.9:  From 1/24/1996 to 4/15/2003, 8 out of 18 samples (44%) > 406 organisms.",5267.65650231,"Clackamas"
26040,12977,"Willamette River","Willamette River",NA,NA,1227618456580,1227618456580,0,NA,9284,"17090007; 17090012","Middle Willamette; Lower Willamette","Willamette","0 to 50.6",0,50.6,50.6,"Temperature",12,"Year Round (Non-spawning)",71,2010,"2010/10/29","No action",21,35,"Salmon and steelhead migration corridor","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Salmon and steelhead migration corridors: 20.0 degrees Celsius 7-day-average maximum",NA,"2004 Data: 
[DEQ/SECOR] LASAR 10340 River Mile 38.3: From 6/16/2001 to 9/30/2002, 163 days with 7-day-average maximum > 20 degrees Celsius.",267577.675535,"Clackamas"
25931,8773,"Abernethy Creek","Abernethy Creek",NA,NA,1226038453650,1226038453650,0,NA,2867,"17090007","Middle Willamette","Willamette","0 to 15.5",0,15.5,15.5,"Temperature",12,"Summer",1,2010,"2010/10/29","No action",21,17,"Salmonid fish rearing; Anadromous fish passage","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Rearing: 17.8 C",NA,"Previous Data: 
LASAR 10873 RM 0.2: In 1999,  7 days with 7 DMA > 17.8 C. LASAR 10874 RM 6.6: In 1999, 53 days with 7 DMA > 17.8 C.",77679.2701972,"Clackamas"
25976,12877,"Eagle Creek","Eagle Creek",NA,NA,1223833453520,1223833453520,0,NA,9010,"17090011","Clackamas","Willamette","0 to 25.4",0,25.4,25.4,"Temperature",12,"Year Round (Non-spawning)",71,2010,"2010/10/29","No action",21,33,"Core cold water habitat","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum",NA,"2004 Data: 
[DEQ] LASAR 25777 River Mile 5.7: From 6/16/2001 to 8/31/2001, 58 days with 7-day-average maximum > 16 degrees Celsius.",132734.13623,"Clackamas"
26233,13398,"Eagle Creek","Eagle Creek",NA,NA,1223833453520,1223833453520,0,NA,9008,"17090011","Clackamas","Willamette","0 to 15.6",0,15.6,15.6,"Temperature",12,"September 1 - June 15",49,2010,"2010/10/29","No action",21,31,"Salmon and steelhead spawning","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum",NA,"2004 Data: 
[DEQ] LASAR 25777 River Mile 5.7: From 5/28/2001 to 9/8/2001, 10 days with 7-day-average maximum > 13 degrees Celsius.",81349.0240047,"Clackamas"
25961,12820,"Collawash River","Collawash River",NA,NA,1220612450320,1220612450320,0,NA,1280,"17090011","Clackamas","Willamette","0 to 12.2",0,12.2,12.2,"Temperature",12,"Year Round (Non-spawning)",71,2010,"2010/10/29","No action",21,33,"Core cold water habitat","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum",NA,"2004 Data: 
[DEQ] LASAR 24460 River Mile 0.4: From 7/9/2000 to 8/31/2000, 52 days with 7-day-average maximum > 16 degrees Celsius.",63726.2006003,"Clackamas"
26232,13393,"Nohorn Creek","Nohorn Creek",NA,NA,1221677449530,1221677449530,0,NA,8867,"17090011","Clackamas","Willamette","0 to 1.8",0,1.8,1.8,"Temperature",12,"September 1 - June 15",49,2010,"2010/10/29","No action",21,31,"Salmon and steelhead spawning","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum",NA,"2004 Data: 
[DEQ] LASAR 23917 River Mile 1.5: From 9/1/2000 to 9/17/2000, 5 days with 7-day-average maximum > 13 degrees Celsius.",9411.20397108,"Clackamas"
29756,25729,"Abernethy Creek","Abernethy Creek",NA,NA,1226038453650,1226038453650,0,NA,31765,"17090007","Middle Willamette","Willamette","0 to 1.6",0,1.6,1.6,"Dissolved Oxygen",6,"October 15 - May 15",46,2012,"2013/06/25","Added to database",7,4,NA,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,NA,NA,NA,NA,"Spawning: Not less than 11.0 mg/L or 95% of saturation",NA,"2012 Data: 
[DEQ] STATION 10873 at RM 0.3 from 03/13/2006 to 12/16/2011, 14 of 25 (56%) samples < 11.0 mg/l and < 95% saturation",8207.20488442,"Clackamas"
26231,13389,"Collawash River","Collawash River",NA,NA,1220612450320,1220612450320,0,NA,8834,"17090011","Clackamas","Willamette","0 to 7.7",0,7.7,7.7,"Temperature",12,"September 1 - June 15",49,2010,"2010/10/29","No action",21,31,"Salmon and steelhead spawning","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum",NA,"2004 Data: 
[DEQ] LASAR 24460 River Mile 0.4: From 9/1/2000 to 9/2/2000, 2 days with 7-day-average maximum > 13 degrees Celsius.",40343.9555606,"Clackamas"
8535,6003,"Tualatin River","Tualatin River",NA,NA,1226500453380,1226500453380,0,NA,1518,"17090010","Tualatin","Willamette","0 to 44.7",0,44.7,44.7,"Temperature",12,"Summer",1,2002,"2002/08/01","No action",21,17,"Anadromous fish passage; Salmonid fish rearing","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2002",NA,"Rearing: 17.8 C",NA,"Previous Data:  USEPA approval date: 08/7/2001",230786.153467,"Clackamas"
25927,8569,"Cow Creek","Cow Creek",NA,NA,1225733453900,1225733453900,0,NA,2838,"17090011","Clackamas","Willamette","0 to 2.6",0,2.6,2.6,"Temperature",12,"Summer",1,2010,"2010/10/29","No action",21,17,"Anadromous fish passage; Salmonid fish rearing","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Rearing: 17.8 C",NA,"Previous Data: 
LASAR 25515 RM 0.9: 5/14 samples > 17.8 C.",13603.1015423,"Clackamas"
